Episode,Secret_Word,Num_Guesses,Total_Distance,Average_Distance,Correct_Guess,Avg_Decrease_Distance_Per_Guess
358,appice,100,316,3.16,False,0.02
359,apical,100,391,3.91,False,0.0
360,diagnosis,100,440,4.4,False,0.0
361,discretionary,100,312,3.12,False,-0.01
362,skated,100,278,2.78,False,0.01
363,chalcedonian,100,377,3.77,False,-0.01
364,expat,100,291,2.91,False,0.01
365,occured,100,341,3.41,False,0.0
366,popular,100,526,5.26,False,0.01
367,elemental,100,444,4.44,False,0.01
368,colloquy,100,233,2.33,False,-0.01
369,alignments,100,302,3.02,False,0.0
370,pupa,100,287,2.87,False,0.0
371,brushes,100,314,3.14,False,0.01
372,homologous,100,445,4.45,False,0.0
373,philistine,100,327,3.27,False,0.01
374,bazoft,100,313,3.13,False,-0.01
375,pg,100,456,4.56,False,-0.01
376,shorthair,100,318,3.18,False,-0.01
377,occupants,100,311,3.11,False,0.0
378,lorien,100,312,3.12,False,-0.01
379,peninsula,100,495,4.95,False,0.01
380,yardley,100,291,2.91,False,0.0
381,albano,100,267,2.67,False,0.02
382,amman,100,360,3.6,False,0.01
383,condemnations,100,284,2.84,False,0.0
384,jiang,100,441,4.41,False,0.0
385,disreputable,100,265,2.65,False,0.01
386,sawdust,100,295,2.95,False,0.03
387,isms,100,309,3.09,False,0.01
388,micrometres,100,306,3.06,False,0.01
389,blacula,100,257,2.57,False,-0.01
390,gloucester,100,349,3.49,False,0.01
391,mckeon,100,294,2.94,False,0.03
392,dimpac,100,287,2.87,False,0.0
393,anglic,100,287,2.87,False,-0.01
394,mordecai,100,360,3.6,False,-0.01
395,deforest,100,313,3.13,False,0.01
396,beatty,100,415,4.15,False,0.0
397,regressed,100,292,2.92,False,0.02
398,celebrating,100,360,3.6,False,-0.01
399,sarov,100,269,2.69,False,0.01
400,lashes,100,317,3.17,False,0.01
401,download,100,466,4.66,False,0.0
402,solitaire,100,396,3.96,False,0.0
403,shavuot,100,365,3.65,False,0.02
404,endoderm,100,235,2.35,False,0.01
405,tankette,100,288,2.88,False,0.01
406,slums,100,287,2.87,False,0.0
407,osborn,100,286,2.86,False,-0.01
408,embargo,100,473,4.73,False,0.0
409,awaits,100,305,3.05,False,-0.01
410,natalie,100,367,3.67,False,-0.02
411,incidental,100,437,4.37,False,-0.01
412,wilkes,100,439,4.39,False,0.0
413,dissent,100,368,3.68,False,-0.01
414,aldehydes,100,359,3.59,False,0.0
415,yeovil,100,269,2.69,False,-0.01
416,adonijah,100,288,2.88,False,-0.01
417,redistribution,100,373,3.73,False,-0.02
418,impunity,100,300,3.0,False,0.01
419,cirth,100,285,2.85,False,-0.01
420,asoka,100,289,2.89,False,0.03
421,kinnear,100,319,3.19,False,0.0
422,minibuses,100,290,2.9,False,0.0
423,translator,100,418,4.18,False,0.0
424,afferent,100,281,2.81,False,-0.01
425,maritimes,100,341,3.41,False,0.01
426,indexed,100,405,4.05,False,0.0
427,heschel,100,353,3.53,False,-0.01
428,invariant,100,441,4.41,False,0.01
429,telepathic,100,386,3.86,False,0.0
430,gnostic,100,445,4.45,False,0.01
431,fred,100,393,3.93,False,0.0
432,figurines,100,319,3.19,False,0.03
433,demonstrators,100,377,3.77,False,-0.02
434,interconnections,100,258,2.58,False,0.0
435,hyacinth,100,339,3.39,False,0.03
436,charmbracelet,100,253,2.53,False,0.0
437,dvorak,100,398,3.98,False,0.0
438,vipers,100,297,2.97,False,-0.01
439,ea,100,424,4.24,False,0.0
440,dyed,100,351,3.51,False,0.0
441,colloquium,100,318,3.18,False,0.01
442,ackermann,100,363,3.63,False,0.0
443,deform,100,259,2.59,False,-0.02
444,gorski,100,277,2.77,False,-0.01
445,creeps,100,279,2.79,False,-0.02
446,maronites,100,352,3.52,False,0.02
447,heterosexism,100,287,2.87,False,-0.01
448,hepworth,100,318,3.18,False,0.0
449,watermark,100,269,2.69,False,0.02
450,jh,100,323,3.23,False,-0.02
451,slab,100,343,3.43,False,0.01
452,injects,100,271,2.71,False,-0.02
453,genetics,100,502,5.02,False,0.0
454,kap,100,277,2.77,False,0.01
455,immunised,100,295,2.95,False,-0.01
456,legalization,100,308,3.08,False,-0.01
457,libre,100,457,4.57,False,-0.02
458,test,100,510,5.1,False,0.01
459,eteocretan,100,280,2.8,False,-0.01
460,lamarr,100,331,3.31,False,-0.01
461,puritan,100,361,3.61,False,0.02
462,firmer,100,306,3.06,False,-0.01
463,issa,100,314,3.14,False,0.01
464,ziba,100,248,2.48,False,-0.02
465,reliance,100,380,3.8,False,0.01
466,owners,100,459,4.59,False,-0.01
467,knud,100,272,2.72,False,-0.01
468,collectivized,100,264,2.64,False,0.0
469,appeals,100,483,4.83,False,0.0
470,jannat,100,270,2.7,False,0.01
471,corrodes,100,247,2.47,False,0.0
472,rotunda,100,309,3.09,False,0.0
473,fergusson,100,280,2.8,False,-0.01
474,madonna,100,393,3.93,False,0.0
475,revisionism,100,426,4.26,False,0.0
476,assorted,100,351,3.51,False,0.0
477,guid,100,290,2.9,False,-0.02
478,duckling,100,362,3.62,False,0.0
479,manica,100,287,2.87,False,0.02
480,rookie,100,462,4.62,False,0.0
481,khama,100,329,3.29,False,0.0
482,purchasing,100,515,5.15,False,0.02
483,willys,100,334,3.34,False,0.02
484,dolls,100,389,3.89,False,0.01
485,rakesh,100,282,2.82,False,0.01
486,barbuda,100,470,4.7,False,0.0
487,adom,100,339,3.39,False,-0.01
488,horst,100,339,3.39,False,0.0
489,slogan,100,330,3.3,False,-0.01
490,profited,100,344,3.44,False,0.02
491,amitabha,100,297,2.97,False,-0.01
492,paddler,100,280,2.8,False,0.0
493,comedy,100,531,5.31,False,-0.02
494,tente,100,360,3.6,False,0.0
495,disulfide,100,367,3.67,False,-0.01
496,fascinated,100,377,3.77,False,0.01
497,awestruck,100,268,2.68,False,-0.01
498,shales,100,276,2.76,False,0.01
499,loader,100,421,4.21,False,0.0
500,differential,100,540,5.4,False,0.0
501,jona,100,370,3.7,False,0.01
502,budd,100,347,3.47,False,0.01
503,ewangelicko,100,284,2.84,False,0.01
504,schwinger,100,317,3.17,False,0.0
505,adderall,100,274,2.74,False,0.0
506,aquila,100,366,3.66,False,0.02
507,centimes,100,394,3.94,False,0.01
508,appletalk,100,339,3.39,False,0.0
509,gate,100,459,4.59,False,-0.01
510,reinvested,100,263,2.63,False,0.01
511,tyndareus,100,294,2.94,False,0.02
512,leaning,100,395,3.95,False,-0.01
513,millsaps,100,374,3.74,False,0.0
514,citys,100,302,3.02,False,0.01
515,beef,100,457,4.57,False,0.0
516,absolved,100,260,2.6,False,0.01
517,essaioi,100,266,2.66,False,-0.01
518,annulled,100,402,4.02,False,0.0
519,saari,100,327,3.27,False,0.0
520,marca,100,323,3.23,False,-0.01
521,aquatic,100,445,4.45,False,0.01
522,bargain,100,403,4.03,False,0.01
523,khumma,100,282,2.82,False,0.01
524,periodization,100,265,2.65,False,-0.03
525,bactria,100,317,3.17,False,0.01
526,brahmin,100,318,3.18,False,0.0
527,szombathely,100,289,2.89,False,-0.01
528,neisse,100,363,3.63,False,0.01
529,judas,100,422,4.22,False,0.01
530,hori,100,299,2.99,False,-0.02
531,date,100,495,4.95,False,0.0
532,dispensational,100,306,3.06,False,0.01
533,marrakech,100,363,3.63,False,0.0
534,ugarte,100,279,2.79,False,0.01
535,postulates,100,355,3.55,False,0.01
536,all,100,570,5.7,False,0.01
537,hostilities,100,425,4.25,False,-0.01
538,avalon,100,426,4.26,False,0.0
539,abitur,100,289,2.89,False,-0.01
540,fpu,100,413,4.13,False,-0.01
541,melodic,100,444,4.44,False,0.01
542,tubing,100,375,3.75,False,0.01
543,arthritis,100,397,3.97,False,-0.02
544,oxidizing,100,449,4.49,False,0.0
545,sausage,100,383,3.83,False,-0.01
546,xenophon,100,355,3.55,False,0.01
547,spooks,100,258,2.58,False,-0.01
548,cataclysmic,100,294,2.94,False,0.01
549,caracalla,100,359,3.59,False,0.0
550,confiscated,100,462,4.62,False,-0.01
551,synodical,100,247,2.47,False,0.01
552,papal,100,463,4.63,False,0.0
553,prayers,100,473,4.73,False,0.0
554,trans,100,449,4.49,False,0.0
555,initialized,100,307,3.07,False,0.0
556,ablett,100,333,3.33,False,-0.01
557,storybook,100,338,3.38,False,0.01
558,kazakstan,100,345,3.45,False,0.0
559,dramatists,100,483,4.83,False,0.0
560,dielectric,100,353,3.53,False,0.0
561,biotic,100,317,3.17,False,0.02
562,happily,100,385,3.85,False,0.01
563,synchronised,100,290,2.9,False,-0.02
564,resigned,100,450,4.5,False,-0.01
565,physiol,100,333,3.33,False,0.0
566,martyrium,100,248,2.48,False,-0.01
567,stunted,100,296,2.96,False,-0.01
568,obex,100,282,2.82,False,0.02
569,yiddish,100,447,4.47,False,0.02
570,zout,100,404,4.04,False,-0.01
571,hurston,100,294,2.94,False,-0.01
572,restrain,100,293,2.93,False,0.0
573,affreightment,100,340,3.4,False,0.01
574,brigitte,100,419,4.19,False,0.0
575,effendi,100,407,4.07,False,-0.01
576,nakatomi,100,301,3.01,False,-0.02
577,stupas,100,260,2.6,False,0.02
578,distributes,100,320,3.2,False,0.02
579,background,100,450,4.5,False,0.01
580,pejorative,100,447,4.47,False,0.03
581,hydrogenation,100,305,3.05,False,-0.01
582,indictment,100,371,3.71,False,0.01
583,endif,100,292,2.92,False,0.0
584,pm,100,400,4.0,False,0.01
585,emeryville,100,287,2.87,False,-0.02
586,damn,100,375,3.75,False,-0.01
587,fermanagh,100,342,3.42,False,0.0
588,inquirer,100,459,4.59,False,0.02
589,cerebellum,100,313,3.13,False,-0.01
590,seasonally,100,330,3.3,False,-0.01
591,hydrostatic,100,295,2.95,False,-0.01
592,cisco,100,384,3.84,False,0.01
593,temenos,100,271,2.71,False,0.01
594,admire,100,307,3.07,False,0.0
595,unknown,100,468,4.68,False,0.0
596,interlocutor,100,247,2.47,False,-0.01
597,fest,100,333,3.33,False,-0.01
598,unpleasant,100,413,4.13,False,0.0
599,jd,100,266,2.66,False,0.01
600,wayne,100,436,4.36,False,-0.01
601,longm,100,246,2.46,False,0.0
602,hotel,100,444,4.44,False,0.0
603,mccready,100,281,2.81,False,-0.02
604,troilus,100,262,2.62,False,-0.01
605,loach,100,334,3.34,False,-0.03
606,shovel,100,279,2.79,False,0.02
607,barenaked,100,379,3.79,False,0.01
608,trademarks,100,366,3.66,False,-0.01
609,lps,100,339,3.39,False,0.02
610,ethnicity,100,411,4.11,False,0.0
611,depatie,100,333,3.33,False,-0.01
612,zevi,100,259,2.59,False,0.01
613,gorizia,100,280,2.8,False,-0.01
614,strachey,100,340,3.4,False,-0.01
615,mythos,100,471,4.71,False,0.0
616,yavapai,100,293,2.93,False,0.0
617,chrono,100,492,4.92,False,0.0
618,kodokan,100,260,2.6,False,-0.02
619,yvette,100,323,3.23,False,-0.02
620,talladega,100,334,3.34,False,-0.01
621,smallholders,100,317,3.17,False,0.02
622,figs,100,315,3.15,False,0.0
623,dimitrov,100,297,2.97,False,0.0
624,paramilitaries,100,294,2.94,False,0.01
625,biathlete,100,286,2.86,False,-0.02
626,leans,100,334,3.34,False,0.0
627,sophia,100,453,4.53,False,0.0
628,jutish,100,250,2.5,False,0.03
629,monopole,100,294,2.94,False,0.01
630,domicile,100,309,3.09,False,-0.02
631,rebekah,100,302,3.02,False,-0.03
632,cardiothoracic,100,286,2.86,False,0.01
633,beverage,100,464,4.64,False,0.0
634,borax,100,289,2.89,False,-0.01
635,specific,100,487,4.87,False,-0.01
636,vian,100,303,3.03,False,-0.01
637,circulated,100,411,4.11,False,0.0
638,nunn,100,285,2.85,False,0.01
639,statements,100,481,4.81,False,0.01
640,xinjiang,100,428,4.28,False,0.01
641,vinca,100,316,3.16,False,0.0
642,marathas,100,297,2.97,False,-0.01
643,bloomington,100,428,4.28,False,0.01
644,envision,100,313,3.13,False,0.0
645,catering,100,365,3.65,False,0.0
646,fiume,100,311,3.11,False,0.01
647,phonons,100,246,2.46,False,0.0
648,angiosperms,100,344,3.44,False,0.01
649,bourbon,100,441,4.41,False,-0.01
650,assad,100,393,3.93,False,0.01
651,redux,100,318,3.18,False,-0.01
652,saitama,100,255,2.55,False,0.01
653,luft,100,296,2.96,False,0.01
654,circumnavigate,100,425,4.25,False,0.0
655,extramarital,100,431,4.31,False,0.0
656,our,100,526,5.26,False,0.01
657,cagayan,100,343,3.43,False,0.01
658,detain,100,262,2.62,False,0.0
659,begging,100,373,3.73,False,0.01
660,crowsnest,100,292,2.92,False,0.0
661,mantras,100,300,3.0,False,0.0
